Date,Close,rtn,ma_5,ma_10,position,strategy_cum,close_5,ma_5_10,strategy_rtn,strategy_rtn_cum,bh_rtn
2005-01-18,974.69,0.007455727741550788,989.3059999999999,988.289,0,,0,1,,,1.00748359088325
2005-01-19,967.21,-0.0077038333531112,984.816,987.4789999999999,0,0.0,0,0,-0.0,1.0,0.9997519251640916
2005-01-20,956.24,-0.011406710800651254,978.908,984.9439999999998,0,0.0,0,0,-0.0,1.0,0.9884128378727588
2005-01-21,982.6,0.0271931921648223,970.78,982.251,0,0.0,1,0,0.0,1.0,1.0156597240167455
2005-01-24,998.13,0.01568140861479339,969.6380000000001,982.115,0,0.0,1,0,0.0,1.0,1.0317122331903466
2005-01-25,997.78,-0.0003507172203036646,975.774,982.54,0,0.0,1,0,-0.0,1.0,1.0313504573879788
2005-01-26,989.93,-0.007898577570972343,980.392,982.604,0,0.0,1,0,-0.0,1.0,1.0232363429634606
2005-01-27,974.63,-0.015576321763187018,984.936,981.9219999999999,0,0.0,0,1,-0.0,1.0,1.007421572174273
2005-01-28,969.21,-0.005576605117869171,988.6139999999999,979.6970000000001,0,0.0,0,1,-0.0,1.0,1.001819215463332
2005-01-31,954.88,-0.014895628541722772,985.936,977.7869999999999,0,0.0,0,1,-0.0,1.0,0.987007080469275
2005-02-01,955.95,0.0011199322931263467,977.2859999999998,976.5300000000001,0,0.0,0,1,0.0,1.0,0.9881130807793688
2005-02-02,1006.91,0.05193590391667691,968.9200000000001,974.656,0,0.0,1,0,0.0,1.0,1.0407876376040106
2005-02-03,993.22,-0.013689323982691626,972.316,978.6259999999999,0,0.0,1,0,-0.0,1.0,1.0266370355057113
2005-02-04,1016.86,0.02352253642650659,976.034,982.324,0,0.0,1,0,0.0,1.0,1.051072406842731
2005-02-16,1023.58,0.0065868384234670785,985.564,985.75,0,0.0,1,0,0.0,1.0,1.058018502248179
2005-02-17,1020.61,-0.0029057984725557873,999.3040000000001,988.2950000000001,1,0.0,1,1,-0.0,1.0,1.0549485761538069
2005-02-18,1006.05,-0.014368715525960418,1012.2360000000001,990.5780000000001,0,-0.014368715525960418,0,1,-0.014368715525960418,0.9857340218104853,1.0398987027753372
2005-02-21,1025.63,0.01927528569478998,1012.0640000000001,992.1900000000002,1,-0.014368715525960418,1,1,0.0,0.9857340218104853,1.0601374748049002
2005-02-22,1046.74,0.0203735145654651,1018.5459999999999,997.29,1,0.006004799039504682,1,1,0.0203735145654651,1.006022863985947,1.0819577239133806
2005-02-23,1043.94,-0.0026785559474307163,1024.522,1005.043,1,0.003326243092073966,1,1,-0.0026785559474307163,1.0033317811772646,1.0790635174944445
2005-02-24,1045.46,0.0014549634039848769,1028.594,1013.949,1,0.004781206496058843,1,1,0.0014549634039848769,1.004792654701978,1.080634658121867
2005-02-25,1046.76,0.0012426993024625688,1033.564,1022.9,1,0.006023905798521412,1,1,0.0012426993024625688,1.006042086006009,1.0819783968163732
2005-02-28,1039.99,-0.006488581528552473,1041.7060000000001,1026.885,0,-0.0004646757300310611,0,1,-0.006488581528552473,0.9995354322150155,1.074980619153445
2005-03-01,1035.93,-0.003911523735505185,1044.578,1031.562,0,-0.0004646757300310611,0,1,-0.0,0.9995354322150155,1.070784019845987
2005-03-02,1021.32,-0.01420366569219933,1042.416,1033.469,0,-0.0004646757300310611,0,1,-0.0,0.9995354322150155,1.0556824642100375
2005-03-03,1027.71,0.006237117772905698,1037.892,1033.243,0,-0.0004646757300310611,0,1,0.0,0.9995354322150155,1.0622874567161098
2005-03-04,1023.67,-0.00393881701404819,1034.342,1033.953,0,-0.0004646757300310611,0,1,-0.0,0.9995354322150155,1.0581115303116446
2005-03-07,1029.87,0.0060383716301144474,1029.7240000000002,1035.715,0,-0.0004646757300310611,1,0,0.0,0.9995354322150155,1.0645201302392888
2005-03-08,1048.99,0.018395215796551234,1027.7,1036.139,0,-0.0004646757300310611,1,0,0.0,0.9995354322150155,1.084283425500026
2005-03-09,1046.54,-0.0023383116598871823,1030.312,1036.364,0,-0.0004646757300310611,1,0,-0.0,0.9995354322150155,1.0817509948834574
2005-03-10,1022.41,-0.02332689931940024,1035.356,1036.624,0,-0.0004646757300310611,0,0,-0.0,0.9995354322150155,1.0568091374231232
2005-03-11,1027.43,0.0048979530458854725,1034.2959999999998,1034.319,0,-0.0004646757300310611,0,0,0.0,0.9995354322150155,1.061998036074216
2005-03-14,1031.03,0.0034977640277737976,1035.048,1032.386,0,-0.0004646757300310611,0,1,0.0,0.9995354322150155,1.065719158612849
