Code,Name,Date,Open,High,Low,Close,Change,PCT,Volume,Turnover
000300,沪深300,2005-01-04,994.7700,994.7700,980.6600,982.7900,,,"7,412,868","4,431,977,400"
000300,沪深300,2005-01-05,981.5800,997.3200,979.8800,992.5600,9.7700,0.9941,"7,119,108","4,529,208,200"
000300,沪深300,2005-01-06,993.3300,993.7900,980.3300,983.1700,-9.3900,-0.9460,"6,288,029","3,921,015,400"
000300,沪深300,2005-01-07,983.0500,995.7100,979.8100,983.9600,0.7900,0.0804,"7,298,694","4,737,469,400"
000300,沪深300,2005-01-10,983.7600,993.9600,979.7900,993.8800,9.9200,1.0082,"5,791,697","3,762,932,900"
000300,沪深300,2005-01-11,994.1900,999.5500,991.0900,997.1400,3.2600,0.3280,"5,849,079","3,704,076,700"
000300,沪深300,2005-01-12,996.6500,996.9800,989.2600,996.7500,-0.3900,-0.0391,"5,014,525","3,093,299,700"
000300,沪深300,2005-01-13,996.0800,999.4700,992.7000,996.8800,0.1300,0.0130,"6,044,065","3,842,173,300"
000300,沪深300,2005-01-14,996.6200,"1,006.4600",987.2300,988.3100,-8.5700,-0.8597,"7,297,842","4,162,921,200"
000300,沪深300,2005-01-17,979.1100,981.5300,965.0800,967.4500,-20.8600,-2.1107,"7,288,188","4,249,807,800"
000300,沪深300,2005-01-18,967.3700,974.8700,960.2900,974.6900,7.2400,0.7484,"7,311,847","4,117,944,100"
000300,沪深300,2005-01-19,974.3300,974.3300,965.2600,967.2100,-7.4800,-0.7674,"6,338,091","3,427,951,300"
000300,沪深300,2005-01-20,963.2100,963.2100,952.2300,956.2400,-10.9700,-1.1342,"7,727,106","4,399,350,600"
000300,沪深300,2005-01-21,954.4600,984.2700,943.4400,982.6000,26.3600,2.7566,"14,450,059","8,152,086,100"
000300,沪深300,2005-01-24,"1,001.8500","1,001.8500",986.2400,998.1300,15.5300,1.5805,"14,359,461","8,360,161,500"
000300,沪深300,2005-01-25,995.6400,997.9500,985.2400,997.7800,-0.3500,-0.0351,"9,862,529","6,157,022,400"
000300,沪深300,2005-01-26,995.7800,999.4700,988.4800,989.9300,-7.8500,-0.7868,"7,663,290","4,719,440,400"
000300,沪深300,2005-01-27,987.3400,987.7000,973.7700,974.6300,-15.3000,-1.5456,"6,945,364","4,094,398,900"
000300,沪深300,2005-01-28,974.6300,975.6200,965.2100,969.2100,-5.4200,-0.5561,"5,748,807","3,280,950,300"
000300,沪深300,2005-01-31,965.7900,965.7900,953.1400,954.8800,-14.3300,-1.4785,"6,788,706","3,863,573,600"
000300,沪深300,2005-02-01,953.3300,965.4800,952.7400,955.9500,1.0700,0.1121,"7,433,066","4,275,706,800"
000300,沪深300,2005-02-02,956.7000,"1,006.9300",956.7000,"1,006.9100",50.9600,5.3308,"17,057,338","10,202,904,300"
000300,沪深300,2005-02-03,"1,005.5600","1,014.1900",992.1600,993.2200,-13.6900,-1.3596,"16,974,539","10,057,310,300"
000300,沪深300,2005-02-04,992.2500,"1,021.0300",989.9400,"1,016.8600",23.6400,2.3801,"15,736,214","9,549,870,600"
000300,沪深300,2005-02-16,"1,023.3200","1,033.2500","1,018.4900","1,023.5800",6.7200,0.6609,"12,131,293","7,438,168,200"
000300,沪深300,2005-02-17,"1,024.4300","1,024.4300","1,010.4800","1,020.6100",-2.9700,-0.2902,"8,968,297","5,513,063,300"
